Number,Name,Pos,GP,TCK,ATCK,Sacks,FUM,FF,BK,INT,PD,TD
76,Miquail Harvey,OL,8,1,0,0,0,0,0,0,0,0
45,Jimmie Goodloe,OL,9,2,0,1,0,0,1,0,0,0
19,Marc Orozco,K,8,2,0,0,0,0,0,0,0,0
25,Lenroy Neysmith,DB,7,3,0,1,0,0,0,0,0,0
91,BrANDon Sesay,DL,11,4,0,1,0,0,2,0,2,0
7,Farrean Toney,WR,12,6,0,0,0,0,0,1,2,0
6,Darius Prince,WR,12,7,0,0,0,0,0,2,1,0
24,Arthur Hobbs,DB,10,8,0,0,0,0,0,1,2,1
15,Aaron Wascha,WR,7,9,0,0,0,0,0,0,1,0
77,Melvin Hollins,DL,10,9,0,0,1,0,0,0,1,0
72,Cornelius Lewis,OL,11,11,0,2,1,0,0,0,1,1
99,Harold Love,OL,12,11,0,2,0,0,1,0,2,0
3,Marvin Ross,DB,6,12,0,0,0,0,0,3,3,1
9,Kenny Veal II,DB,7,13,0,0,0,1,0,4,3,0
21,Jabari Gorman,DB,7,14,0,0,0,0,0,0,1,0
13,Marquel Wade,DB,9,14,0,0,0,0,0,2,6,0
4,Trevon Shorts,MLB,10,14,0,0,0,1,0,0,1,0
92,Calvin Fance,DL,12,18,0,2,0,1,2,0,0,0
47,Nick Haag,JLB,10,23,0,5,1,1,0,1,2,1
22,Dwayne Hollis,DB,12,31,4,0,1,0,0,5,23,0
