Number,Name,Pos,GP,PR,PR YDS,PR Avg YDS,PR TD,PR Long,KR,KR YDS,KR Avg YDS,KR TD,KR Long
72,Cornelius Lewis,OL,11,0,0,0,0,0,1,0,0,0,0
45,Jimmie Goodloe,OL,9,0,0,0,0,0,1,0,0,0,0
47,Nick Haag,JLB,10,0,0,0,0,0,1,9,9,0,0
4,Trevon Shorts,MLB,10,0,0,0,0,0,1,1,1,0,1
7,Farrean Toney,WR,12,0,0,0,0,0,2,37,18,0,14
13,Marquel Wade,DB,9,0,0,0,0,0,6,104,17,0,35
22,Dwayne Hollis,DB,12,0,0,0,0,0,7,126,18,0,28
6,Darius Prince,WR,12,0,0,0,0,0,24,404,16,1,50
99,Harold Love,OL,12,1,0,0,0,0,0,0,0,0,0
25,Lenroy Neysmith,DB,7,1,0,0,0,0,1,27,27,0,27
