"#","Name","Pos","GP","REC","YDS","Avg YDS","Rec. YPGA","TD","Long","FUM"
"8","Larry Ford","S","14","1","4","4","0.3","0","4","0"
"18","TC Stevens","K","14","2","13","7","0.9","1","9","0"
"76","Dashawn Johnson","OL","11","2","14","7","1.3","0","10","0"
"3","Jonathan Bane","QB","10","1","18","18","1.8","0","0","0"
"13","Joe Hills","WR","1","3","36","12","36.0","1","26","0"
"9","Zack Brown","FB","14","6","36","6","2.6","3","15","0"
"1","Joe Powell","DB","11","12","121","10","11.0","3","44","1"
"7","Trevante Long","DB","14","14","177","13","12.6","4","38","1"
"11","James Summers","ATH","14","34","326","10","23.3","7","19","1"
"4","Adam Smith","WR","13","28","354","13","27.2","3","32","0"
"88","Lance Evans","WR","14","41","505","12","36.1","7","33","0"
"17","Kendrick Ings","WR","14","63","785","12","56.1","18","35","0"
"15","DJ Myers","WR","14","68","842","12","60.1","17","39","0"

