"#","Name","Pos","GP","PR","PR YDS","PR Avg YDS","PR TD","PR Long","KR","KR YDS","KR Avg YDS","KR TD","KR Long"
"15","DJ Myers","WR","14","0","0","0","0","0","1","0","0","0","0"
"11","James Summers","ATH","14","0","0","0","0","0","1","7","7","0","7"
"21","Jeramiah Stovall","DB","7","0","0","0","0","0","1","19","19","0","19"
"56","Terrence Ames Jr","OL","14","0","0","0","0","0","1","0","0","0","0"
"93","Walter Thomas","DL","14","0","0","0","0","0","1","0","0","0","0"
"1","Joe Powell","DB","11","0","0","0","0","0","2","0","0","0","0"
"88","Lance Evans","WR","14","0","0","0","0","0","2","11","5","0","11"
"12","Cris Page","DB","6","0","0","0","0","0","3","102","34","1","26"
"6","Herbert Waters","WR","8","0","0","0","0","0","3","59","19","0","29"
"7","Trevante Long","DB","14","0","0","0","0","0","5","68","13","0","24"
"17","Kendrick Ings","WR","14","0","0","0","0","0","14","285","20","0","34"

