Number,Name,Pos,GP,TCK,ATCK,Sacks,FUM,FF,BK,INT,PD,TD
14,Daniel Smith,QB,7,0,0,0,1,0,0,0,0,0
93,Corey Crawford,DL,3,1,0,0,0,0,0,0,0,0
58,Dion Small,OL,3,1,0,0,0,0,0,0,0,0
6,Tommie Neely,ATH,7,2,0,0,1,1,0,0,0,0
9,Blake Erickson,ATH,9,3,0,0,0,0,0,0,0,0
77,Brackin Smith,ATH,7,3,0,0,0,0,0,0,0,0
7,Jeff Branch,MLB,2,3,0,0,0,0,0,1,1,1
50,Brandon Thorpe,DL,12,4,1,0,1,0,0,0,0,0
12,Desmond Reece,WR,12,4,1,0,0,0,0,1,2,0
94,Jamar Claibourn,DL,11,5,1,0,0,0,2,0,1,0
17,Charles Mcclain,WR,5,7,0,0,0,0,0,0,1,0
92,Dominick Davenport,DL,12,15,1,1,0,0,1,0,0,0
21,Darien Townsend,WR,12,16,0,0,0,0,0,2,2,1
2,Ken Washington,DL,12,19,3,4,1,1,2,0,2,0
16,Kevin Fuller,WR,12,19,3,0,1,1,0,0,2,1
31,Maurice Leggett,ATH,7,24,1,0,0,0,0,6,8,1
10,Kerry Starks,MLB,11,25,0,10,2,1,2,0,0,0
1,Jarmon Fortson,WR,12,28,5,1,1,1,1,2,2,1
5,Rodney Hall Jr.,DB,12,36,3,0,1,1,0,3,9,1
3,Droell Greene,DB,12,57,4,0,1,2,0,4,7,1
