"#","Name","Pos","GP","REC","YDS","Avg YDS","Rec. YPGA","TD","Long","FUM"
"93","Corey Crawford","DL","3","1","7","7","2.3","0","7","0"
"7","Jeff Branch","MLB","2","1","18","18","9.0","0","18","0"
"3","Droell Greene","DB","12","1","19","19","1.6","1","19","0"
"10","Kerry Starks","MLB","11","2","20","10","1.8","2","13","0"
"31","Maurice Leggett","ATH","7","2","20","10","2.9","0","13","0"
"2","Ken Washington","DL","12","2","32","16","2.7","0","18","0"
"17","Charles Mcclain","WR","5","8","88","11","17.6","0","28","0"
"16","Kevin Fuller","WR","12","18","166","9","13.8","3","21","0"
"12","Desmond Reece","WR","12","25","251","10","20.9","5","39","0"
"1","Jarmon Fortson","WR","12","49","558","11","46.5","17","36","1"
"21","Darien Townsend","WR","12","74","856","12","71.3","23","45","0"

