Number,Name,Pos,GP,TCK,ATCK,Sacks,FUM,FF,BK,INT,PD,TD
77,Dominick Jackson,DL,1,1,0,0,0,0,0,0,0,0
3,Jenson Stoshak,WR,1,1,0,0,0,0,0,0,0,0
33,Nicklas Grant,DL,4,1,0,1,0,0,0,0,0,0
5,Nyqwan Murray,WR,14,1,0,0,0,0,0,0,0,0
7,Arvell Nelson,QB,9,3,0,0,0,0,0,0,0,0
15,Milton Williams,WR,5,3,0,0,0,1,0,1,0,0
8,Oshay Dunmore,ATH,10,3,0,0,0,0,0,0,0,0
56,Gibril Ghee,OL,14,4,0,1,0,0,1,0,0,0
44,David Gilbert,DL,6,5,0,1,0,0,0,0,0,0
14,Desmond Fairell,DB,7,6,0,0,0,0,0,0,1,0
17,Quayvon Hicks,ATH,14,8,0,2,0,0,0,0,1,0
40,Seyvon Lowry,DL,11,10,1,1,0,0,0,0,0,1
6,Kamrin Solomon,ATH,8,11,2,0,0,0,1,2,4,0
13,Rob Jones,ATH,10,11,0,0,1,0,0,0,0,0
39,Faleaoga Russell,OL,11,13,0,2,0,0,0,0,0,0
66,Kwan Stallworth,DL,14,13,1,4,0,0,1,1,0,0
18,Anthony Johnson,ATH,14,19,1,6,2,0,0,0,1,1
20,Keiron Jones,DB,9,20,1,0,0,0,0,0,4,0
9,Chei Hill,DL,13,21,2,6,0,0,1,0,1,0
2,Miles Kelly,ATH,14,26,0,0,0,0,0,0,3,0
10,Markus Smith,DB,14,66,4,2,1,3,0,4,22,1
