"#","Name","Pos","GP","REC","YDS","Avg YDS","Rec. YPGA","TD","Long","FUM"
"17","Quayvon Hicks","ATH","14","2","16","8","1.1","1","0","0"
"3","Daniel Bender","WR","5","1","19","19","3.8","0","12","0"
"39","Faleaoga Russell","OL","11","3","22","7","2.0","1","10","0"
"8","Oshay Dunmore","ATH","10","5","28","6","2.8","0","8","0"
"3","Jenson Stoshak","WR","1","4","30","8","30.0","3","12","0"
"18","Anthony Johnson","ATH","14","4","36","9","2.6","0","19","0"
"6","Kamrin Solomon","ATH","8","33","258","8","32.3","8","28","1"
"15","Milton Williams","WR","5","31","302","10","60.4","4","30","0"
"13","Rob Jones","ATH","10","26","376","14","37.6","9","45","0"
"2","Miles Kelly","ATH","14","42","533","13","38.1","7","36","0"
"5","Nyqwan Murray","WR","14","59","723","12","51.6","19","39","0"

