Number,Name,Pos,GP,TCK,ATCK,Sacks,FUM,FF,BK,INT,PD,TD
66,Austin Regan,OL,11,0,2,1,0,0,0,0,0,0
3,Jabari Dunham,QB,3,0,0,0,1,0,0,0,0,0
73,Jeremiah Fennell,ATH,1,0,1,0,0,0,0,0,0,0
11,Clarence Williams,WR,11,1,0,0,0,0,0,0,0,0
14,Daniel Justino,K,10,1,0,0,0,0,0,0,0,0
1,Daron Clark Jr.,WR,9,1,0,0,0,0,0,0,0,0
22,Caleb Walls,WR,10,2,0,0,0,0,0,0,1,0
15,Richy Anderson,WR,7,2,0,0,0,0,0,0,1,0
75,Darius Tolbert,DL,8,3,1,0,0,0,0,0,1,0
21,Anthony Cruz,WR,9,4,0,0,0,0,0,1,1,0
32,Darius Meadors,QB,12,4,1,0,2,0,0,0,0,1
44,Victor Alvarez Jr,DL,5,5,0,1,0,0,0,0,0,0
70,Dequan Murray,OL,11,6,2,1,0,0,0,0,0,0
24,Brian Foy Jr,DB,6,7,0,0,0,0,0,1,3,0
7,Freddie Booth,FB,11,9,3,8,0,1,0,0,0,0
16,Jerome Junior,DB,2,9,0,0,1,1,0,0,0,0
17,Kewan Alfred,FB,10,9,0,2,0,0,0,0,0,0
9,Lonnie Outlaw,WR,11,9,2,1,0,0,0,0,2,0
90,Rashad Miller,DL,10,10,1,4,0,0,0,0,0,0
