Number,Name,Pos,GP,TCK,ATCK,Sacks,FUM,FF,BK,INT,PD,TD
68,Dontae Angus,OL,4,0,0,0,0,0,0,0,1,0
8,Thornton Chandler,DB,1,0,0,0,0,0,0,1,0,0
7,Drew Pearson,K,6,1,0,0,0,0,0,0,0,0
76,James Atoe,ATH,2,1,0,0,1,0,0,0,0,0
99,Jeremiah Zene Jr,FB,8,1,0,1,2,1,0,0,0,0
19,Ladarian Mcfarland,WR,5,1,0,0,0,0,0,0,0,0
70,Xavier Ruben,ATH,2,1,0,0,0,0,0,0,0,0
4,Anthony Robinson,WR,9,2,0,0,0,0,0,1,2,0
73,Caleb Roller,DL,12,2,0,1,0,0,0,0,0,0
24,Kadir Chisholm,WR,9,2,0,0,0,0,0,0,1,0
10,Phillip Barnett,WR,8,3,0,0,2,0,0,1,0,2
0,Tre Harlan,OL,7,3,0,1,1,0,0,0,0,1
11,Pierre Turner,DL,12,4,1,2,0,1,0,0,0,0
20,Kyle Chandler,WR,1,5,0,0,0,0,0,1,1,0
77,David Andzaldua,OL,12,6,0,1,0,0,0,0,1,0
83,Niko Thomas,WR,10,6,0,0,0,0,0,1,0,0
3,Darius Banks,DB,5,9,0,0,0,0,0,0,2,0
18,Neiko Creamer,WR,12,9,0,0,0,0,0,0,0,0
23,Tony Sparrow,WR,6,11,0,0,1,0,0,2,0,1
5,Kali Rashaad,WR,12,15,1,0,0,0,0,2,2,0
