Number,Name,Pos,GP,REC,YDS,Avg YDS,Rec. YPGA,TD,Long,FUM
23,Tony Sparrow,WR,6,3,27,9,4.5,1,13,0
4,Brian Robinson,WR,1,2,29,15,29,1,27,0
11,Pierre Turner,DL,12,5,31,6,2.6,4,9,0
0,Tre Harlan,OL,7,4,54,14,7.7,1,23,0
77,David ANDzaldua,OL,12,5,57,11,4.8,2,15,0
3,Darius Banks,DB,5,5,59,12,11.8,0,18,0
83,Niko Thomas,WR,10,10,91,9,9.1,1,18,0
18,Neiko Creamer,WR,12,14,107,8,8.9,4,19,0
4,Anthony Robinson,WR,9,12,150,13,16.7,4,31,0
24,Kadir Chisholm,WR,9,10,179,18,19.9,3,34,0
10,Phillip Barnett,WR,8,56,562,10,70.3,22,26,0
5,Kali Rashaad,WR,12,89,1124,13,93.7,20,43,1
